baseid	url	file_name	acl	state	version	storageclass	deletereason	release	project_id	type	id	md5	size
29faeb47-5f7f-4dff-8ebd-feae9f37dfb4	s3://s3-external-1.amazonaws.com/gdcbackup/44c334a4-2279-4904-9656-96bd5ef2a03c	TCGA-57-1994-01Z-00-DX1.A0798185-30C5-4C32-B1A8-B440D4F4ED95.svs	[u'open']	released	1	GLACIER		12.0	TCGA-OV	active	10ba2a6b-c8a7-4857-9e1b-06cee2eac8f2	cedd220ef9e4f9ab5a73fe5ff3afff68	93340338
d45aa0f2-17eb-4d23-8482-ceb9a2ae6cb5	s3://s3-external-1.amazonaws.com/gdcbackup/12927e2d-f1a9-459c-92ff-1f8c7bac4465	TCGA-21-1075-01Z-00-DX1.937872ae-4d6f-4d7a-b54f-b7e797cb84b0.svs	[u'open']	released	1	GLACIER		12.0	TCGA-LUSC	active	878f0c77-63b9-4e70-a55e-c400c1148868	445f8bec21fbe12d6e45a09114b305a0	93883109
3c525832-24d6-4683-be32-ada8186784f3	s3://s3-external-1.amazonaws.com/gdcbackup/8dfcd43f-1dac-4147-9151-b18405bd5cc1	TCGA-06-0145-01Z-00-DX2.9713b8c7-4664-40e9-82a1-da0a82d544c2.svs	[u'open']	released	1	GLACIER		12.0	TCGA-GBM	active	8ce08e22-f47f-4ac2-ae3b-ca620958f9ec	d4e4d08abcf54ba46cb63d9b7b515ded	94139825
d9c821a5-2030-4ff2-853a-cf34f60738d9	s3://s3-external-1.amazonaws.com/gdcbackup/c44ac883-7a08-492c-b407-11b26a047b21	TCGA-CH-5745-01Z-00-DX1.49835389-232e-4c7f-8550-1501b402d698.svs	[u'open']	released	1	GLACIER		12.0	TCGA-PRAD	active	0188cee6-0cfc-47d9-9b20-908aa67b28fe	33816fa8b9b000b27ed2234342683e4a	94330871
141a5141-7bb5-463a-b5f9-84824da969e6	s3://s3-external-1.amazonaws.com/gdcbackup/b86556ed-61f8-4e9b-b1a1-09f20d7869ab	TCGA-AC-A3W5-01Z-00-DX1.522F702C-776E-45F1-84D3-1648DF04137C.svs	[u'open']	released	1	GLACIER		12.0	TCGA-BRCA	active	5c376b53-8570-4c16-83df-666556dd36cd	dca7acf04b85901c0988c556d833173a	94365042
8f1036d4-7631-432c-8ef3-7eb1d099aaa6	s3://s3-external-1.amazonaws.com/gdcbackup/5c26aeaf-ae56-4bf0-868a-43e7c258d3d6	TCGA-A6-5662-01Z-00-DX1.82569684-1c31-4346-af9b-c296a020f624.svs	[u'open']	released	1	GLACIER		12.0	TCGA-COAD	active	0aa4157e-39b0-4a6c-933d-1225235c3fc9	bf19906277f8bc8fd114ecc7d3bbb0ea	94426693
c1301840-2fbf-4a62-b87b-4f4f3b3ecc56	s3://s3-external-1.amazonaws.com/gdcbackup/3997bcb9-7df0-4bb2-b449-27fe366ff074	TCGA-BI-A0VS-01Z-00-DX1.C1E1F2D2-4F9F-42A2-914F-75ED20A1DB61.svs	[u'open']	released	1	GLACIER		12.0	TCGA-CESC	active	4227998b-3de7-447d-9813-66b3e9dceea5	563217481a71b7314192c15a7634292e	94528371
d7ddff17-5c62-405a-9e01-855056169695	s3://s3-external-1.amazonaws.com/gdcbackup/8301a535-cdc8-4c30-9504-13bb4c6f0ef0	TCGA-FP-7998-01Z-00-DX1.9f24585a-d609-4094-8170-b0f483606a18.svs	[u'open']	released	1	GLACIER		12.0	TCGA-STAD	active	c3255542-5a94-464e-8a2f-0982803b6bb3	d90a76664342b577ae6617768c191e58	94721205
a1362666-bf68-4881-a782-f20975e04d96	s3://s3-external-1.amazonaws.com/gdcbackup/2ff4f2c8-67bd-468c-9298-633ba2610563	TCGA-CH-5737-01Z-00-DX1.beeda9ae-cb8c-4534-8438-081302b482cf.svs	[u'open']	released	1	GLACIER		12.0	TCGA-PRAD	active	7e04981c-1fc5-4e5d-a7fd-70d7d7c53ad7	75503858cc7c07bac2b76a6c9aacfe3f	94857535
8233bf0e-6bf1-489a-968c-36e856cc8f4f	s3://s3-external-1.amazonaws.com/gdcbackup/7c99f6c2-a124-4af2-ae82-c6b5be25c4e9	TCGA-DU-8163-01Z-00-DX1.0f6383ea-6dd4-4424-b7b1-ec19d17d8d1a.svs	[u'open']	released	1	GLACIER		12.0	TCGA-LGG	active	fd2e60f1-433e-4a65-a848-7b4e39af04f1	11fca7241d53b5555cba159b8db8a536	94859651
